rule,frequency,support,confidence
R:({SBS_VL})->TOURIST_ARR_VL,5,0.06944444444444445,0.5555555555555556
R:({SBS_VL})->TOURIST_ARR_M,2,0.027777777777777776,0.2222222222222222
R:({SBS_VL})->TOURIST_ARR_L,1,0.013888888888888888,0.1111111111111111
R:({SBS_VL})->TOURIST_ARR_H,1,0.013888888888888888,0.1111111111111111
R:({SBS_VH})->TOURIST_ARR_VH,9,0.125,0.6428571428571428
R:({SBS_VH})->TOURIST_ARR_H,3,0.041666666666666664,0.21428571428571427
R:({SBS_VH})->TOURIST_ARR_M,2,0.027777777777777776,0.14285714285714285
R:({SBS_M})->TOURIST_ARR_M,15,0.20833333333333334,0.5357142857142857
R:({SBS_M})->TOURIST_ARR_H,6,0.08333333333333333,0.21428571428571427
R:({SBS_M})->TOURIST_ARR_L,4,0.05555555555555555,0.14285714285714285
R:({SBS_M})->TOURIST_ARR_VH,2,0.027777777777777776,0.07142857142857142
R:({SBS_M})->TOURIST_ARR_VL,1,0.013888888888888888,0.03571428571428571
R:({SBS_H})->TOURIST_ARR_M,7,0.09722222222222222,0.4666666666666667
R:({SBS_H})->TOURIST_ARR_H,4,0.05555555555555555,0.26666666666666666
R:({SBS_H})->TOURIST_ARR_VH,4,0.05555555555555555,0.26666666666666666
R:({SBS_L})->TOURIST_ARR_M,2,0.027777777777777776,0.3333333333333333
R:({SBS_L})->TOURIST_ARR_VL,2,0.027777777777777776,0.3333333333333333
R:({SBS_L})->TOURIST_ARR_L,2,0.027777777777777776,0.3333333333333333
R:({TOURIST_ARR_M})->SBS_M,15,0.20833333333333334,0.5357142857142857
R:({TOURIST_ARR_M})->SBS_H,7,0.09722222222222222,0.25
R:({TOURIST_ARR_M})->SBS_VL,2,0.027777777777777776,0.07142857142857142
R:({TOURIST_ARR_M})->SBS_L,2,0.027777777777777776,0.07142857142857142
R:({TOURIST_ARR_M})->SBS_VH,2,0.027777777777777776,0.07142857142857142
R:({TOURIST_ARR_VH})->SBS_VH,9,0.125,0.6
R:({TOURIST_ARR_VH})->SBS_H,4,0.05555555555555555,0.26666666666666666
R:({TOURIST_ARR_VH})->SBS_M,2,0.027777777777777776,0.13333333333333333
R:({TOURIST_ARR_VL})->SBS_VL,5,0.06944444444444445,0.6250000000000001
R:({TOURIST_ARR_VL})->SBS_L,2,0.027777777777777776,0.25
R:({TOURIST_ARR_VL})->SBS_M,1,0.013888888888888888,0.125
R:({TOURIST_ARR_L})->SBS_M,4,0.05555555555555555,0.5714285714285714
R:({TOURIST_ARR_L})->SBS_L,2,0.027777777777777776,0.2857142857142857
R:({TOURIST_ARR_L})->SBS_VL,1,0.013888888888888888,0.14285714285714285
R:({TOURIST_ARR_H})->SBS_M,6,0.08333333333333333,0.42857142857142855
R:({TOURIST_ARR_H})->SBS_H,4,0.05555555555555555,0.2857142857142857
R:({TOURIST_ARR_H})->SBS_VH,3,0.041666666666666664,0.21428571428571427
R:({TOURIST_ARR_H})->SBS_VL,1,0.013888888888888888,0.07142857142857142
